GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
TripFlow API Service,com.tripflow.service,UnsplashService.UnsplashPhotoInternal,15,0,0,0,1,0,1,0,1,0
TripFlow API Service,com.tripflow.service,KafkaService,0,38,0,0,0,15,0,7,0,7
TripFlow API Service,com.tripflow.service,UserCleanupService,19,31,1,1,3,10,1,2,0,2
TripFlow API Service,com.tripflow.service,UnsplashService.UnsplashUserInternal,6,0,0,0,1,0,1,0,1,0
TripFlow API Service,com.tripflow,TripflowApplication,5,3,0,0,2,1,1,1,1,1
TripFlow API Service,com.tripflow.mappers,ItineraryMapperImpl,42,449,19,22,20,135,19,17,0,14
TripFlow API Service,com.tripflow.mappers,UserMapperImpl,34,145,14,11,11,47,12,8,0,6
TripFlow API Service,com.tripflow.mappers,CollaboratorMapperImpl,30,164,10,15,10,55,10,12,0,8
TripFlow API Service,com.tripflow.mappers,AIMapperImpl,6,55,3,3,3,15,3,3,0,3
TripFlow API Service,com.tripflow.mappers,ExternalImageMapperImpl,4,28,4,2,1,9,3,2,0,2
TripFlow API Service,com.tripflow.config,CorsConfig.new WebMvcConfigurer() {...},0,46,0,0,0,7,0,2,0,2
TripFlow API Service,com.tripflow.config,OpenRouteServiceProperties,5,31,1,5,1,7,2,4,1,2
TripFlow API Service,com.tripflow.config,AdminConfig,7,24,0,0,2,6,0,2,0,2
TripFlow API Service,com.tripflow.config,OpenApiConfig,0,38,0,0,0,12,0,2,0,2
TripFlow API Service,com.tripflow.config,MapsProperties,6,12,0,0,2,4,2,4,2,4
TripFlow API Service,com.tripflow.config,MapTilerProperties,3,9,0,0,1,3,1,3,1,3
TripFlow API Service,com.tripflow.config,JpaConfig,0,3,0,0,0,1,0,1,0,1
TripFlow API Service,com.tripflow.config,CorsConfig,1,32,1,1,0,7,1,4,0,4
TripFlow API Service,com.tripflow.model.types,ItineraryStatus,0,27,0,0,0,5,0,1,0,1
TripFlow API Service,com.tripflow.model.types,CollaboratorRole,0,21,0,0,0,4,0,1,0,1
TripFlow API Service,com.tripflow.model.types,UserType,0,15,0,0,0,3,0,1,0,1
TripFlow API Service,com.tripflow.model.types,InvitationStatus,0,15,0,0,0,3,0,1,0,1
TripFlow API Service,com.tripflow.model.types,PlanType,0,35,0,0,0,8,0,3,0,3
TripFlow API Service,com.tripflow.exception,EmailAlreadyExistsException,0,4,0,0,0,2,0,1,0,1
TripFlow API Service,com.tripflow.exception,UsernameAlreadyExistsException,0,4,0,0,0,2,0,1,0,1
TripFlow API Service,com.tripflow.controller.advice,GlobalExceptionHandler,21,53,1,1,5,10,4,6,3,6
TripFlow API Service,com.tripflow.dto.itinerary.share,ShareLinkDTO,0,33,0,0,0,12,0,6,0,6
